2025-10-26 17:00:32,169 [INFO] Starting game: default_scenario - long_short: 2 vs regional_simple: 2
2025-10-26 17:00:34,220 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [200.0, 200.0, 600.0, 600.0], 'agent_y': [200.0, 400.0, 400.0, 200.0]}
2025-10-26 17:00:34,221 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [200.0, 200.0, 600.0, 596.0], 'agent_y': [200.0, 400.0, 400.0, 204.0]}
2025-10-26 17:00:34,238 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [196.0, 204.0, 596.0, 592.0], 'agent_y': [204.0, 396.0, 400.0, 208.0]}
2025-10-26 17:00:34,255 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [192.0, 208.0, 592.0, 588.0], 'agent_y': [208.0, 392.0, 396.0, 212.0]}
2025-10-26 17:00:34,272 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [188.0, 212.0, 588.0, 588.0], 'agent_y': [212.0, 388.0, 396.0, 212.0]}
2025-10-26 17:00:34,288 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [184.0, 216.0, 584.0, 588.0], 'agent_y': [216.0, 384.0, 396.0, 212.0]}
2025-10-26 17:00:34,305 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [184.0, 220.0, 580.0, 584.0], 'agent_y': [220.0, 380.0, 396.0, 216.0]}
2025-10-26 17:00:34,321 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [184.0, 224.0, 580.0, 580.0], 'agent_y': [224.0, 376.0, 396.0, 220.0]}
2025-10-26 17:00:34,338 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [184.0, 228.0, 580.0, 576.0], 'agent_y': [228.0, 372.0, 396.0, 224.0]}
2025-10-26 17:00:34,355 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [184.0, 232.0, 576.0, 572.0], 'agent_y': [232.0, 368.0, 392.0, 228.0]}
2025-10-26 17:00:34,371 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [184.0, 236.0, 572.0, 568.0], 'agent_y': [236.0, 364.0, 388.0, 232.0]}
2025-10-26 17:00:34,388 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [184.0, 240.0, 568.0, 564.0], 'agent_y': [240.0, 360.0, 388.0, 236.0]}
2025-10-26 17:00:34,405 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [184.0, 244.0, 564.0, 560.0], 'agent_y': [244.0, 356.0, 388.0, 240.0]}
2025-10-26 17:00:34,421 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [184.0, 248.0, 560.0, 560.0], 'agent_y': [248.0, 352.0, 384.0, 240.0]}
2025-10-26 17:00:34,438 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [184.0, 252.0, 556.0, 556.0], 'agent_y': [252.0, 348.0, 384.0, 244.0]}
2025-10-26 17:00:34,455 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [184.0, 252.0, 552.0, 552.0], 'agent_y': [256.0, 348.0, 380.0, 248.0]}
2025-10-26 17:00:34,471 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [184.0, 252.0, 548.0, 548.0], 'agent_y': [260.0, 348.0, 380.0, 252.0]}
2025-10-26 17:00:34,488 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [184.0, 252.0, 544.0, 544.0], 'agent_y': [264.0, 348.0, 380.0, 256.0]}
2025-10-26 17:00:34,505 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [184.0, 252.0, 540.0, 540.0], 'agent_y': [268.0, 348.0, 376.0, 260.0]}
2025-10-26 17:00:34,521 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [184.0, 256.0, 536.0, 536.0], 'agent_y': [272.0, 344.0, 376.0, 264.0]}
2025-10-26 17:00:34,538 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [184.0, 260.0, 532.0, 532.0], 'agent_y': [276.0, 340.0, 372.0, 268.0]}
2025-10-26 17:00:34,555 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [184.0, 264.0, 528.0, 528.0], 'agent_y': [280.0, 336.0, 372.0, 272.0]}
2025-10-26 17:00:34,571 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [184.0, 268.0, 524.0, 524.0], 'agent_y': [284.0, 332.0, 372.0, 276.0]}
2025-10-26 17:00:34,588 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [184.0, 272.0, 520.0, 520.0], 'agent_y': [288.0, 328.0, 372.0, 280.0]}
2025-10-26 17:00:34,605 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [184.0, 276.0, 520.0, 516.0], 'agent_y': [288.0, 324.0, 372.0, 284.0]}
2025-10-26 17:00:34,621 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [184.0, 280.0, 516.0, 512.0], 'agent_y': [288.0, 320.0, 368.0, 288.0]}
2025-10-26 17:00:34,638 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [184.0, 284.0, 512.0, 508.0], 'agent_y': [288.0, 316.0, 364.0, 292.0]}
2025-10-26 17:00:34,655 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [184.0, 288.0, 508.0, 504.0], 'agent_y': [288.0, 312.0, 360.0, 296.0]}
2025-10-26 17:00:34,671 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [184.0, 292.0, 504.0, 500.0], 'agent_y': [292.0, 308.0, 360.0, 300.0]}
2025-10-26 17:00:34,688 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [184.0, 296.0, 500.0, 496.0], 'agent_y': [296.0, 304.0, 360.0, 304.0]}
2025-10-26 17:00:34,705 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [180.0, 296.0, 496.0, 492.0], 'agent_y': [300.0, 304.0, 360.0, 308.0]}
2025-10-26 17:00:34,721 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [176.0, 300.0, 492.0, 488.0], 'agent_y': [300.0, 304.0, 360.0, 312.0]}
2025-10-26 17:00:34,738 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [172.0, 304.0, 488.0, 484.0], 'agent_y': [300.0, 304.0, 356.0, 312.0]}
