2025-10-26 16:40:50,060 [INFO] Starting game: default_scenario - long_short: 4 vs simple: 4
2025-10-26 16:40:52,105 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [200.0, 200.0, 200.0, 200.0, 600.0, 600.0, 600.0, 600.0], 'agent_y': [120.0, 240.0, 360.0, 480.0, 480.0, 360.0, 240.0, 120.0]}
2025-10-26 16:40:52,116 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [200.0, 200.0, 200.0, 200.0, 600.0, 600.0, 600.0, 604.0], 'agent_y': [120.0, 240.0, 360.0, 480.0, 480.0, 360.0, 240.0, 124.0]}
2025-10-26 16:40:52,132 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [196.0, 200.0, 204.0, 200.0, 600.0, 596.0, 600.0, 608.0], 'agent_y': [124.0, 240.0, 356.0, 480.0, 480.0, 360.0, 240.0, 128.0]}
2025-10-26 16:40:52,149 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [192.0, 200.0, 208.0, 200.0, 600.0, 592.0, 596.0, 612.0], 'agent_y': [128.0, 240.0, 352.0, 480.0, 480.0, 360.0, 236.0, 132.0]}
2025-10-26 16:40:52,165 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [188.0, 204.0, 212.0, 200.0, 600.0, 588.0, 592.0, 612.0], 'agent_y': [132.0, 244.0, 348.0, 480.0, 480.0, 360.0, 232.0, 132.0]}
2025-10-26 16:40:52,182 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [184.0, 208.0, 216.0, 204.0, 596.0, 584.0, 588.0, 612.0], 'agent_y': [136.0, 248.0, 344.0, 476.0, 476.0, 360.0, 228.0, 132.0]}
2025-10-26 16:40:52,199 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [180.0, 212.0, 220.0, 208.0, 592.0, 580.0, 584.0, 612.0], 'agent_y': [140.0, 252.0, 340.0, 472.0, 472.0, 360.0, 224.0, 132.0]}
2025-10-26 16:40:52,216 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [176.0, 216.0, 224.0, 212.0, 588.0, 580.0, 580.0, 612.0], 'agent_y': [144.0, 256.0, 336.0, 468.0, 468.0, 360.0, 220.0, 132.0]}
2025-10-26 16:40:52,232 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [172.0, 216.0, 228.0, 216.0, 584.0, 576.0, 576.0, 612.0], 'agent_y': [148.0, 256.0, 332.0, 464.0, 464.0, 360.0, 216.0, 132.0]}
2025-10-26 16:40:52,249 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [172.0, 216.0, 228.0, 220.0, 580.0, 572.0, 572.0, 612.0], 'agent_y': [152.0, 256.0, 332.0, 460.0, 460.0, 360.0, 220.0, 132.0]}
2025-10-26 16:40:52,266 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [172.0, 216.0, 232.0, 224.0, 576.0, 568.0, 568.0, 612.0], 'agent_y': [156.0, 256.0, 328.0, 456.0, 456.0, 360.0, 224.0, 132.0]}
2025-10-26 16:40:52,282 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [172.0, 216.0, 236.0, 224.0, 572.0, 564.0, 564.0, 612.0], 'agent_y': [160.0, 252.0, 324.0, 456.0, 452.0, 360.0, 228.0, 132.0]}
2025-10-26 16:40:52,299 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [172.0, 216.0, 240.0, 228.0, 568.0, 560.0, 560.0, 612.0], 'agent_y': [164.0, 248.0, 320.0, 452.0, 448.0, 360.0, 224.0, 132.0]}
2025-10-26 16:40:52,316 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [172.0, 216.0, 244.0, 232.0, 564.0, 556.0, 556.0, 616.0], 'agent_y': [168.0, 252.0, 316.0, 448.0, 444.0, 360.0, 220.0, 136.0]}
2025-10-26 16:40:52,332 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [172.0, 216.0, 248.0, 236.0, 564.0, 556.0, 552.0, 620.0], 'agent_y': [172.0, 256.0, 312.0, 444.0, 444.0, 360.0, 216.0, 140.0]}
2025-10-26 16:40:52,349 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [172.0, 216.0, 252.0, 240.0, 560.0, 556.0, 548.0, 624.0], 'agent_y': [176.0, 260.0, 308.0, 440.0, 440.0, 360.0, 220.0, 144.0]}
2025-10-26 16:40:52,366 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [172.0, 216.0, 256.0, 244.0, 556.0, 552.0, 544.0, 628.0], 'agent_y': [180.0, 260.0, 304.0, 436.0, 436.0, 360.0, 224.0, 148.0]}
2025-10-26 16:40:52,382 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [172.0, 216.0, 260.0, 248.0, 552.0, 548.0, 540.0, 628.0], 'agent_y': [184.0, 260.0, 300.0, 432.0, 432.0, 360.0, 228.0, 148.0]}
2025-10-26 16:40:52,399 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [172.0, 216.0, 264.0, 252.0, 548.0, 544.0, 540.0, 632.0], 'agent_y': [188.0, 260.0, 296.0, 428.0, 428.0, 360.0, 228.0, 152.0]}
2025-10-26 16:40:52,416 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [172.0, 216.0, 264.0, 256.0, 544.0, 540.0, 540.0, 636.0], 'agent_y': [192.0, 260.0, 296.0, 424.0, 424.0, 360.0, 228.0, 156.0]}
2025-10-26 16:40:52,432 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [172.0, 216.0, 264.0, 260.0, 544.0, 536.0, 540.0, 640.0], 'agent_y': [196.0, 260.0, 296.0, 420.0, 424.0, 360.0, 228.0, 160.0]}
2025-10-26 16:40:52,449 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [172.0, 216.0, 268.0, 264.0, 544.0, 532.0, 540.0, 644.0], 'agent_y': [200.0, 260.0, 296.0, 416.0, 424.0, 360.0, 228.0, 164.0]}
2025-10-26 16:40:52,466 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [172.0, 216.0, 272.0, 264.0, 544.0, 528.0, 536.0, 648.0], 'agent_y': [204.0, 260.0, 296.0, 416.0, 424.0, 360.0, 224.0, 168.0]}
2025-10-26 16:40:52,482 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [172.0, 216.0, 276.0, 268.0, 540.0, 524.0, 532.0, 652.0], 'agent_y': [208.0, 260.0, 296.0, 412.0, 420.0, 360.0, 220.0, 172.0]}
2025-10-26 16:40:52,499 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [172.0, 216.0, 276.0, 272.0, 536.0, 524.0, 528.0, 656.0], 'agent_y': [208.0, 260.0, 296.0, 408.0, 416.0, 360.0, 220.0, 176.0]}
2025-10-26 16:40:52,516 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [172.0, 216.0, 276.0, 276.0, 532.0, 524.0, 524.0, 660.0], 'agent_y': [212.0, 260.0, 296.0, 404.0, 412.0, 360.0, 220.0, 180.0]}
2025-10-26 16:40:52,532 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [172.0, 216.0, 280.0, 280.0, 532.0, 524.0, 520.0, 664.0], 'agent_y': [216.0, 260.0, 296.0, 400.0, 412.0, 360.0, 220.0, 184.0]}
2025-10-26 16:40:52,549 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [172.0, 216.0, 284.0, 284.0, 532.0, 524.0, 516.0, 668.0], 'agent_y': [220.0, 260.0, 296.0, 396.0, 412.0, 360.0, 220.0, 188.0]}
2025-10-26 16:40:52,566 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [172.0, 216.0, 288.0, 288.0, 532.0, 520.0, 516.0, 672.0], 'agent_y': [224.0, 260.0, 296.0, 392.0, 412.0, 360.0, 220.0, 192.0]}
2025-10-26 16:40:52,582 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [172.0, 216.0, 292.0, 292.0, 532.0, 516.0, 516.0, 676.0], 'agent_y': [228.0, 260.0, 296.0, 388.0, 412.0, 360.0, 220.0, 196.0]}
2025-10-26 16:40:52,599 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [172.0, 216.0, 292.0, 296.0, 532.0, 512.0, 512.0, 680.0], 'agent_y': [232.0, 264.0, 296.0, 384.0, 412.0, 360.0, 220.0, 200.0]}
2025-10-26 16:40:52,616 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [172.0, 216.0, 296.0, 300.0, 532.0, 512.0, 508.0, 684.0], 'agent_y': [236.0, 268.0, 296.0, 380.0, 412.0, 360.0, 220.0, 204.0]}
2025-10-26 16:40:52,632 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [172.0, 216.0, 300.0, 304.0, 532.0, 508.0, 504.0, 684.0], 'agent_y': [240.0, 272.0, 296.0, 376.0, 412.0, 360.0, 220.0, 204.0]}
2025-10-26 16:40:52,649 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [172.0, 216.0, 304.0, 304.0, 532.0, 504.0, 500.0, 684.0], 'agent_y': [244.0, 272.0, 296.0, 376.0, 412.0, 360.0, 220.0, 204.0]}
2025-10-26 16:40:52,666 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [172.0, 216.0, 308.0, 308.0, 532.0, 500.0, 496.0, 684.0], 'agent_y': [248.0, 276.0, 296.0, 372.0, 412.0, 360.0, 220.0, 204.0]}
2025-10-26 16:40:52,682 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [172.0, 216.0, 312.0, 312.0, 532.0, 496.0, 492.0, 688.0], 'agent_y': [252.0, 280.0, 296.0, 368.0, 412.0, 360.0, 220.0, 208.0]}
2025-10-26 16:40:52,699 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [172.0, 216.0, 316.0, 316.0, 532.0, 496.0, 488.0, 692.0], 'agent_y': [252.0, 284.0, 296.0, 364.0, 412.0, 360.0, 220.0, 212.0]}
2025-10-26 16:40:52,716 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [172.0, 216.0, 320.0, 320.0, 532.0, 496.0, 484.0, 696.0], 'agent_y': [252.0, 288.0, 296.0, 360.0, 412.0, 360.0, 220.0, 216.0]}
2025-10-26 16:40:52,732 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [172.0, 216.0, 324.0, 324.0, 532.0, 496.0, 480.0, 700.0], 'agent_y': [256.0, 288.0, 296.0, 356.0, 412.0, 360.0, 220.0, 220.0]}
2025-10-26 16:40:52,749 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [172.0, 216.0, 328.0, 328.0, 528.0, 496.0, 476.0, 704.0], 'agent_y': [260.0, 288.0, 296.0, 352.0, 408.0, 360.0, 220.0, 224.0]}
2025-10-26 16:40:52,766 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [172.0, 216.0, 332.0, 328.0, 524.0, 492.0, 472.0, 704.0], 'agent_y': [264.0, 292.0, 296.0, 352.0, 404.0, 356.0, 220.0, 224.0]}
2025-10-26 16:40:52,782 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [172.0, 216.0, 336.0, 328.0, 520.0, 488.0, 468.0, 708.0], 'agent_y': [268.0, 296.0, 296.0, 352.0, 400.0, 352.0, 220.0, 228.0]}
2025-10-26 16:40:52,799 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [172.0, 216.0, 340.0, 328.0, 520.0, 484.0, 464.0, 712.0], 'agent_y': [272.0, 300.0, 296.0, 352.0, 400.0, 352.0, 220.0, 232.0]}
2025-10-26 16:40:52,816 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [172.0, 216.0, 344.0, 328.0, 516.0, 480.0, 464.0, 716.0], 'agent_y': [276.0, 304.0, 296.0, 352.0, 396.0, 352.0, 220.0, 236.0]}
2025-10-26 16:40:52,832 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [172.0, 216.0, 348.0, 328.0, 512.0, 476.0, 464.0, 720.0], 'agent_y': [280.0, 308.0, 296.0, 352.0, 392.0, 352.0, 220.0, 240.0]}
2025-10-26 16:40:52,849 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [172.0, 216.0, 352.0, 332.0, 508.0, 472.0, 460.0, 724.0], 'agent_y': [284.0, 312.0, 296.0, 348.0, 388.0, 348.0, 220.0, 244.0]}
2025-10-26 16:40:52,866 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [172.0, 216.0, 356.0, 336.0, 504.0, 468.0, 456.0, 728.0], 'agent_y': [288.0, 312.0, 296.0, 344.0, 384.0, 344.0, 220.0, 248.0]}
2025-10-26 16:40:52,882 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [172.0, 216.0, 360.0, 340.0, 500.0, 464.0, 452.0, 728.0], 'agent_y': [292.0, 308.0, 296.0, 340.0, 380.0, 344.0, 220.0, 248.0]}
2025-10-26 16:40:52,899 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [172.0, 216.0, 364.0, 344.0, 496.0, 460.0, 452.0, 732.0], 'agent_y': [296.0, 304.0, 296.0, 336.0, 376.0, 344.0, 220.0, 252.0]}
