2025-10-26 15:44:58,383 [INFO] Starting game: default_scenario - short: 2 vs two_capped_neural: 2
2025-10-26 15:45:00,651 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [200.0, 200.0, 600.0, 600.0], 'agent_y': [200.0, 400.0, 400.0, 200.0]}
2025-10-26 15:45:00,660 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [204.0, 196.0, 600.0, 600.0], 'agent_y': [204.0, 396.0, 400.0, 200.0]}
2025-10-26 15:45:00,677 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [208.0, 192.0, 600.0, 600.0], 'agent_y': [208.0, 392.0, 400.0, 200.0]}
2025-10-26 15:45:00,693 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [212.0, 188.0, 600.0, 596.0], 'agent_y': [212.0, 388.0, 400.0, 204.0]}
2025-10-26 15:45:00,710 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [216.0, 184.0, 596.0, 592.0], 'agent_y': [216.0, 384.0, 396.0, 208.0]}
2025-10-26 15:45:00,727 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [220.0, 180.0, 592.0, 588.0], 'agent_y': [220.0, 380.0, 392.0, 212.0]}
2025-10-26 15:45:00,743 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [224.0, 176.0, 588.0, 584.0], 'agent_y': [224.0, 376.0, 388.0, 216.0]}
2025-10-26 15:45:00,760 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [224.0, 172.0, 584.0, 580.0], 'agent_y': [224.0, 372.0, 384.0, 220.0]}
2025-10-26 15:45:00,777 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [228.0, 168.0, 580.0, 576.0], 'agent_y': [228.0, 368.0, 380.0, 224.0]}
2025-10-26 15:45:00,793 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [232.0, 164.0, 576.0, 572.0], 'agent_y': [232.0, 364.0, 376.0, 228.0]}
2025-10-26 15:45:00,810 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [236.0, 160.0, 572.0, 568.0], 'agent_y': [236.0, 360.0, 372.0, 232.0]}
2025-10-26 15:45:00,827 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [240.0, 156.0, 568.0, 564.0], 'agent_y': [240.0, 356.0, 368.0, 236.0]}
2025-10-26 15:45:00,843 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [244.0, 152.0, 564.0, 560.0], 'agent_y': [244.0, 352.0, 364.0, 240.0]}
2025-10-26 15:45:00,860 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [248.0, 148.0, 560.0, 556.0], 'agent_y': [248.0, 348.0, 360.0, 244.0]}
2025-10-26 15:45:00,877 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [252.0, 144.0, 556.0, 552.0], 'agent_y': [252.0, 344.0, 356.0, 248.0]}
2025-10-26 15:45:00,893 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [256.0, 140.0, 552.0, 548.0], 'agent_y': [256.0, 340.0, 352.0, 252.0]}
2025-10-26 15:45:00,910 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [260.0, 136.0, 548.0, 544.0], 'agent_y': [260.0, 336.0, 348.0, 256.0]}
2025-10-26 15:45:00,927 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [264.0, 132.0, 544.0, 540.0], 'agent_y': [264.0, 332.0, 344.0, 260.0]}
2025-10-26 15:45:00,943 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [268.0, 128.0, 540.0, 536.0], 'agent_y': [268.0, 328.0, 340.0, 264.0]}
2025-10-26 15:45:00,960 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [268.0, 124.0, 536.0, 532.0], 'agent_y': [268.0, 324.0, 336.0, 268.0]}
2025-10-26 15:45:00,977 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [272.0, 120.0, 532.0, 528.0], 'agent_y': [272.0, 320.0, 332.0, 272.0]}
2025-10-26 15:45:00,993 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [276.0, 116.0, 528.0, 524.0], 'agent_y': [276.0, 316.0, 328.0, 272.0]}
2025-10-26 15:45:01,010 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [280.0, 112.0, 524.0, 520.0], 'agent_y': [280.0, 312.0, 324.0, 272.0]}
2025-10-26 15:45:01,027 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [284.0, 112.0, 520.0, 516.0], 'agent_y': [284.0, 312.0, 320.0, 272.0]}
