2025-10-26 21:45:27,854 [INFO] Starting game: default_scenario - simple: 2 vs regional_simple: 2
2025-10-26 21:45:29,892 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [200.0, 200.0, 600.0, 600.0], 'agent_y': [200.0, 400.0, 400.0, 200.0]}
2025-10-26 21:45:29,897 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [200.0, 200.0, 600.0, 596.0], 'agent_y': [200.0, 400.0, 400.0, 204.0]}
2025-10-26 21:45:29,914 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [200.0, 200.0, 596.0, 592.0], 'agent_y': [200.0, 400.0, 400.0, 208.0]}
2025-10-26 21:45:29,931 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [200.0, 200.0, 592.0, 588.0], 'agent_y': [200.0, 400.0, 400.0, 212.0]}
2025-10-26 21:45:29,947 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [200.0, 200.0, 588.0, 584.0], 'agent_y': [200.0, 400.0, 400.0, 216.0]}
2025-10-26 21:45:29,964 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [200.0, 200.0, 588.0, 580.0], 'agent_y': [200.0, 400.0, 400.0, 220.0]}
2025-10-26 21:45:29,981 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [200.0, 200.0, 588.0, 576.0], 'agent_y': [200.0, 400.0, 400.0, 224.0]}
2025-10-26 21:45:29,997 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [200.0, 200.0, 584.0, 572.0], 'agent_y': [200.0, 400.0, 396.0, 228.0]}
2025-10-26 21:45:30,014 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [200.0, 200.0, 580.0, 568.0], 'agent_y': [200.0, 400.0, 392.0, 232.0]}
2025-10-26 21:45:30,031 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [200.0, 200.0, 576.0, 564.0], 'agent_y': [200.0, 400.0, 392.0, 236.0]}
2025-10-26 21:45:30,047 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [200.0, 200.0, 572.0, 560.0], 'agent_y': [200.0, 400.0, 392.0, 240.0]}
