2025-10-26 16:43:08,530 [INFO] Starting game: default_scenario - simple: 4 vs long_short: 4
2025-10-26 16:43:10,632 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [200.0, 200.0, 200.0, 200.0, 600.0, 600.0, 600.0, 600.0], 'agent_y': [120.0, 240.0, 360.0, 480.0, 480.0, 360.0, 240.0, 120.0]}
2025-10-26 16:43:10,637 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [200.0, 200.0, 204.0, 200.0, 600.0, 600.0, 600.0, 600.0], 'agent_y': [120.0, 240.0, 364.0, 480.0, 480.0, 360.0, 240.0, 120.0]}
2025-10-26 16:43:10,653 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [204.0, 200.0, 208.0, 196.0, 600.0, 600.0, 600.0, 600.0], 'agent_y': [124.0, 240.0, 368.0, 476.0, 480.0, 360.0, 240.0, 120.0]}
2025-10-26 16:43:10,670 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [208.0, 200.0, 212.0, 192.0, 600.0, 600.0, 600.0, 600.0], 'agent_y': [128.0, 240.0, 372.0, 472.0, 480.0, 360.0, 240.0, 120.0]}
2025-10-26 16:43:10,687 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [212.0, 204.0, 216.0, 188.0, 600.0, 596.0, 600.0, 600.0], 'agent_y': [132.0, 240.0, 376.0, 468.0, 480.0, 356.0, 240.0, 120.0]}
2025-10-26 16:43:10,703 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [212.0, 208.0, 220.0, 184.0, 600.0, 592.0, 600.0, 600.0], 'agent_y': [132.0, 240.0, 380.0, 464.0, 480.0, 352.0, 240.0, 120.0]}
2025-10-26 16:43:10,720 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [212.0, 212.0, 224.0, 180.0, 600.0, 588.0, 600.0, 596.0], 'agent_y': [132.0, 240.0, 384.0, 460.0, 480.0, 348.0, 240.0, 124.0]}
2025-10-26 16:43:10,737 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [212.0, 216.0, 228.0, 176.0, 600.0, 584.0, 600.0, 592.0], 'agent_y': [132.0, 240.0, 380.0, 456.0, 480.0, 344.0, 240.0, 128.0]}
2025-10-26 16:43:10,753 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [212.0, 220.0, 232.0, 176.0, 600.0, 580.0, 600.0, 588.0], 'agent_y': [132.0, 240.0, 380.0, 456.0, 480.0, 340.0, 240.0, 132.0]}
2025-10-26 16:43:10,770 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [212.0, 224.0, 236.0, 172.0, 600.0, 580.0, 596.0, 584.0], 'agent_y': [132.0, 240.0, 380.0, 452.0, 480.0, 336.0, 244.0, 136.0]}
2025-10-26 16:43:10,787 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [212.0, 228.0, 240.0, 168.0, 600.0, 580.0, 592.0, 580.0], 'agent_y': [132.0, 240.0, 380.0, 448.0, 484.0, 332.0, 248.0, 140.0]}
