2025-10-26 15:50:33,592 [INFO] Starting game: default_scenario - two_capped_neural: 2 vs long_short: 2
2025-10-26 15:50:35,785 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [200.0, 200.0, 600.0, 600.0], 'agent_y': [200.0, 400.0, 400.0, 200.0]}
2025-10-26 15:50:35,791 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [200.0, 200.0, 600.0, 600.0], 'agent_y': [200.0, 400.0, 400.0, 200.0]}
2025-10-26 15:50:35,808 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [200.0, 200.0, 604.0, 600.0], 'agent_y': [200.0, 400.0, 396.0, 200.0]}
2025-10-26 15:50:35,824 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [200.0, 200.0, 608.0, 596.0], 'agent_y': [200.0, 400.0, 392.0, 204.0]}
2025-10-26 15:50:35,841 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [204.0, 204.0, 612.0, 592.0], 'agent_y': [204.0, 396.0, 388.0, 208.0]}
2025-10-26 15:50:35,858 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [208.0, 208.0, 616.0, 588.0], 'agent_y': [208.0, 392.0, 384.0, 212.0]}
2025-10-26 15:50:35,874 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [212.0, 212.0, 620.0, 584.0], 'agent_y': [212.0, 388.0, 380.0, 216.0]}
2025-10-26 15:50:35,891 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [216.0, 216.0, 624.0, 580.0], 'agent_y': [216.0, 384.0, 376.0, 220.0]}
2025-10-26 15:50:35,908 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [220.0, 220.0, 628.0, 576.0], 'agent_y': [220.0, 380.0, 372.0, 224.0]}
2025-10-26 15:50:35,924 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [224.0, 224.0, 632.0, 572.0], 'agent_y': [224.0, 376.0, 368.0, 228.0]}
2025-10-26 15:50:35,941 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [228.0, 228.0, 632.0, 568.0], 'agent_y': [228.0, 372.0, 364.0, 232.0]}
2025-10-26 15:50:35,958 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [232.0, 232.0, 632.0, 564.0], 'agent_y': [232.0, 368.0, 360.0, 236.0]}
2025-10-26 15:50:35,974 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [236.0, 236.0, 632.0, 560.0], 'agent_y': [236.0, 364.0, 356.0, 240.0]}
2025-10-26 15:50:35,991 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [240.0, 240.0, 632.0, 556.0], 'agent_y': [240.0, 360.0, 352.0, 244.0]}
2025-10-26 15:50:36,008 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [244.0, 244.0, 632.0, 552.0], 'agent_y': [244.0, 356.0, 348.0, 248.0]}
2025-10-26 15:50:36,024 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [248.0, 248.0, 632.0, 548.0], 'agent_y': [248.0, 352.0, 344.0, 252.0]}
2025-10-26 15:50:36,041 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [252.0, 252.0, 632.0, 544.0], 'agent_y': [252.0, 348.0, 340.0, 256.0]}
2025-10-26 15:50:36,058 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [256.0, 256.0, 632.0, 540.0], 'agent_y': [256.0, 344.0, 336.0, 260.0]}
2025-10-26 15:50:36,074 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [260.0, 260.0, 632.0, 536.0], 'agent_y': [260.0, 340.0, 332.0, 264.0]}
2025-10-26 15:50:36,091 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [264.0, 264.0, 632.0, 532.0], 'agent_y': [264.0, 336.0, 328.0, 268.0]}
2025-10-26 15:50:36,108 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [268.0, 268.0, 632.0, 528.0], 'agent_y': [268.0, 332.0, 324.0, 272.0]}
2025-10-26 15:50:36,124 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [272.0, 272.0, 632.0, 524.0], 'agent_y': [272.0, 328.0, 320.0, 276.0]}
2025-10-26 15:50:36,141 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [276.0, 276.0, 632.0, 520.0], 'agent_y': [276.0, 324.0, 316.0, 280.0]}
2025-10-26 15:50:36,158 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [280.0, 280.0, 636.0, 516.0], 'agent_y': [280.0, 324.0, 312.0, 284.0]}
2025-10-26 15:50:36,174 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [284.0, 284.0, 640.0, 512.0], 'agent_y': [284.0, 324.0, 308.0, 288.0]}
2025-10-26 15:50:36,191 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [288.0, 288.0, 644.0, 508.0], 'agent_y': [285.9999995, 326.0000005, 304.0, 292.0]}
2025-10-26 15:50:36,208 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [292.0, 292.0, 648.0, 504.0], 'agent_y': [287.9999995, 328.0000005, 300.0, 296.0]}
