2025-10-26 15:05:54,953 [INFO] Starting game: default_scenario - two_capped_neural: 2 vs simple: 2
2025-10-26 15:05:57,148 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [200.0, 200.0, 600.0, 600.0], 'agent_y': [200.0, 400.0, 400.0, 200.0]}
2025-10-26 15:05:57,149 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [200.0, 200.0, 600.0, 600.0], 'agent_y': [200.0, 400.0, 400.0, 200.0]}
2025-10-26 15:05:57,166 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [200.0, 200.0, 596.0, 604.0], 'agent_y': [200.0, 400.0, 400.0, 204.0]}
2025-10-26 15:05:57,182 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [200.0, 200.0, 592.0, 608.0], 'agent_y': [200.0, 400.0, 400.0, 208.0]}
2025-10-26 15:05:57,199 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [204.0, 204.0, 588.0, 612.0], 'agent_y': [204.0, 396.0, 396.0, 212.0]}
2025-10-26 15:05:57,216 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [208.0, 208.0, 584.0, 616.0], 'agent_y': [208.0, 392.0, 392.0, 216.0]}
2025-10-26 15:05:57,232 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [212.0, 212.0, 580.0, 620.0], 'agent_y': [212.0, 388.0, 392.0, 220.0]}
2025-10-26 15:05:57,249 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [216.0, 216.0, 576.0, 624.0], 'agent_y': [216.0, 384.0, 392.0, 224.0]}
2025-10-26 15:05:57,266 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [220.0, 220.0, 572.0, 628.0], 'agent_y': [220.0, 380.0, 392.0, 228.0]}
2025-10-26 15:05:57,282 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [224.0, 224.0, 568.0, 632.0], 'agent_y': [224.0, 376.0, 392.0, 232.0]}
2025-10-26 15:05:57,299 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [228.0, 228.0, 564.0, 636.0], 'agent_y': [228.0, 372.0, 388.0, 236.0]}
2025-10-26 15:05:57,316 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [232.0, 232.0, 560.0, 640.0], 'agent_y': [232.0, 368.0, 384.0, 240.0]}
2025-10-26 15:05:57,332 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [236.0, 236.0, 556.0, 644.0], 'agent_y': [236.0, 364.0, 384.0, 244.0]}
2025-10-26 15:05:57,349 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [240.0, 236.0, 552.0, 648.0], 'agent_y': [240.0, 364.0, 380.0, 248.0]}
2025-10-26 15:05:57,366 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [244.0, 236.0, 548.0, 652.0], 'agent_y': [244.0, 364.0, 380.0, 252.0]}
2025-10-26 15:05:57,382 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [248.0, 240.0, 544.0, 656.0], 'agent_y': [248.0, 360.0, 380.0, 256.0]}
2025-10-26 15:05:57,399 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [252.0, 244.0, 540.0, 660.0], 'agent_y': [252.0, 356.0, 380.0, 260.0]}
2025-10-26 15:05:57,416 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [256.0, 248.0, 540.0, 664.0], 'agent_y': [256.0, 352.0, 380.0, 264.0]}
2025-10-26 15:05:57,432 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [260.0, 252.0, 540.0, 668.0], 'agent_y': [260.0, 348.0, 380.0, 268.0]}
2025-10-26 15:05:57,449 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [264.0, 256.0, 536.0, 672.0], 'agent_y': [264.0, 344.0, 376.0, 272.0]}
2025-10-26 15:05:57,466 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [268.0, 256.0, 532.0, 676.0], 'agent_y': [268.0, 344.0, 372.0, 276.0]}
2025-10-26 15:05:57,482 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [272.0, 256.0, 528.0, 680.0], 'agent_y': [272.0, 344.0, 372.0, 280.0]}
2025-10-26 15:05:57,499 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [276.0, 256.0, 524.0, 684.0], 'agent_y': [276.0, 344.0, 368.0, 284.0]}
