2025-10-26 15:58:19,999 [INFO] Starting game: small_scenario - two_capped_neural: 2 vs regional_simple: 2
2025-10-26 15:58:22,281 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 100.0, 'puck_y': 50.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [50.0, 50.0, 150.0, 150.0], 'agent_y': [33.333333333333336, 66.66666666666667, 66.66666666666666, 33.33333333333333]}
2025-10-26 15:58:22,296 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 100.0, 'puck_y': 50.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [50.0, 50.0, 148.0, 150.0], 'agent_y': [33.333333333333336, 66.66666666666667, 66.66666666666666, 33.33333333333333]}
2025-10-26 15:58:22,312 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 100.0, 'puck_y': 50.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [50.0, 50.0, 146.0, 150.0], 'agent_y': [33.333333333333336, 66.66666666666667, 66.66666666666666, 33.33333333333333]}
2025-10-26 15:58:22,329 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 100.0, 'puck_y': 50.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [50.0, 50.0, 144.0, 150.0], 'agent_y': [33.333333333333336, 66.66666666666667, 66.66666666666666, 33.33333333333333]}
2025-10-26 15:58:22,346 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 100.0, 'puck_y': 50.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [50.0, 50.0, 142.0, 150.0], 'agent_y': [33.333333333333336, 66.66666666666667, 66.66666666666666, 33.33333333333333]}
2025-10-26 15:58:22,362 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 100.0, 'puck_y': 50.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [50.0, 50.0, 140.0, 148.0], 'agent_y': [33.333333333333336, 66.66666666666667, 66.66666666666666, 35.33333333333333]}
2025-10-26 15:58:22,379 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 100.0, 'puck_y': 50.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [50.0, 50.0, 138.0, 146.0], 'agent_y': [33.333333333333336, 66.66666666666667, 66.66666666666666, 37.33333333333333]}
2025-10-26 15:58:22,396 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 100.0, 'puck_y': 50.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [50.0, 50.0, 136.0, 144.0], 'agent_y': [33.333333333333336, 66.66666666666667, 66.66666666666666, 39.33333333333333]}
2025-10-26 15:58:22,412 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 100.0, 'puck_y': 50.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [50.0, 50.0, 134.0, 142.0], 'agent_y': [33.333333333333336, 66.66666666666667, 66.66666666666666, 41.33333333333333]}
2025-10-26 15:58:22,429 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 100.0, 'puck_y': 50.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [50.0, 50.0, 132.0, 140.0], 'agent_y': [33.333333333333336, 66.66666666666667, 66.66666666666666, 43.33333333333333]}
2025-10-26 15:58:22,446 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 100.0, 'puck_y': 50.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [50.0, 50.0, 130.0, 138.0], 'agent_y': [33.333333333333336, 66.66666666666667, 66.66666666666666, 45.33333333333333]}
2025-10-26 15:58:22,462 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 100.0, 'puck_y': 50.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [52.0, 52.0, 128.0, 136.0], 'agent_y': [35.333333333333336, 64.66666666666667, 66.66666666666666, 47.33333333333333]}
2025-10-26 15:58:22,479 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 100.0, 'puck_y': 50.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [54.0, 54.0, 126.0, 134.0], 'agent_y': [37.333333333333336, 62.66666666666667, 66.66666666666666, 49.33333333333333]}
2025-10-26 15:58:22,495 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 100.0, 'puck_y': 50.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [56.0, 56.0, 124.0, 132.0], 'agent_y': [39.333333333333336, 60.66666666666667, 66.66666666666666, 51.33333333333333]}
2025-10-26 15:58:22,512 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 100.0, 'puck_y': 50.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [58.0, 58.0, 121.88403369933191, 130.11596630066808], 'agent_y': [41.333333333333336, 58.66666666666667, 66.85994383444681, 53.140056165553176]}
2025-10-26 15:58:22,529 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 100.0, 'puck_y': 50.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [60.0, 60.0, 119.40180582788398, 128.598194172116], 'agent_y': [41.9999995, 58.000000500000006, 67.54649664748393, 54.453503352516044]}
2025-10-26 15:58:22,545 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 100.0, 'puck_y': 50.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [62.0, 62.0, 116.31125650159407, 127.6887434984059], 'agent_y': [41.9999995, 58.000000500000006, 66.62478492116317, 55.3752150788368]}
2025-10-26 15:58:22,562 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 100.0, 'puck_y': 50.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [64.0, 64.0, 114.31125650159407, 127.6887434984059], 'agent_y': [41.9999995, 58.000000500000006, 64.62478492116317, 55.3752150788368]}
2025-10-26 15:58:22,579 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 100.0, 'puck_y': 50.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [66.0, 66.0, 112.31125650159407, 127.6887434984059], 'agent_y': [41.9999995, 58.000000500000006, 64.62478492116317, 55.3752150788368]}
2025-10-26 15:58:22,595 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 100.0, 'puck_y': 50.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [68.0, 68.0, 110.31125650159407, 127.6887434984059], 'agent_y': [41.9999995, 58.000000500000006, 62.62478492116317, 55.3752150788368]}
2025-10-26 15:58:22,612 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 97.66112053205198, 'puck_y': 47.38684415944956, 'puck_vx': -2.024260949931874, 'puck_vy': -2.210959844614622, 'agent_x': [70.0, 70.0, 108.31125650159407, 125.6887434984059], 'agent_y': [41.9999995, 58.000000500000006, 60.62478492116317, 57.3752150788368]}
2025-10-26 15:58:22,629 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 95.63685958212011, 'puck_y': 45.17588431483494, 'puck_vx': -2.024260949931874, 'puck_vy': -2.210959844614622, 'agent_x': [72.0, 72.0, 108.0095085029404, 123.99049149705957], 'agent_y': [39.9999995, 56.000000500000006, 58.610059446301484, 59.38994055369849]}
2025-10-26 15:58:22,645 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 93.61259863218824, 'puck_y': 42.96492447022032, 'puck_vx': -2.024260949931874, 'puck_vy': -2.210959844614622, 'agent_x': [74.0, 74.0, 107.01241686188114, 122.98758313811884], 'agent_y': [37.9999995, 54.000000500000006, 56.55444011441812, 57.44555988558185]}
2025-10-26 15:58:22,662 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 91.58833768225637, 'puck_y': 40.7539646256057, 'puck_vx': -2.024260949931874, 'puck_vy': -2.210959844614622, 'agent_x': [76.0, 74.0, 108.01621372959102, 123.98378627040896], 'agent_y': [35.9999995, 52.000000500000006, 56.490917699748294, 57.50908230025168]}
2025-10-26 15:58:22,679 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 89.5640767323245, 'puck_y': 38.543004780991076, 'puck_vx': -2.024260949931874, 'puck_vy': -2.210959844614622, 'agent_x': [78.0, 74.0, 108.01621372959102, 123.98378627040896], 'agent_y': [33.9999995, 50.000000500000006, 56.490917699748294, 57.50908230025168]}
2025-10-26 15:58:22,695 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 94.40221491336337, 'puck_y': 40.96182304121264, 'puck_vx': 2.847441358779861, 'puck_vy': 1.056936691782173, 'agent_x': [80.0, 72.0, 108.01621372959102, 123.98378627040896], 'agent_y': [31.9999995, 48.000000500000006, 56.490917699748294, 57.50908230025168]}
2025-10-26 15:58:22,712 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 97.24965627214323, 'puck_y': 42.01875973299481, 'puck_vx': 2.847441358779861, 'puck_vy': 1.056936691782173, 'agent_x': [82.0, 74.0, 107.18047219255807, 122.8195278074419], 'agent_y': [33.9999995, 48.000000500000006, 54.310327585405105, 57.68967241459487]}
2025-10-26 15:58:22,729 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 100.09709763092309, 'puck_y': 43.07569642477698, 'puck_vx': 2.847441358779861, 'puck_vy': 1.056936691782173, 'agent_x': [84.0, 76.0, 107.31727639622514, 122.68272360377483], 'agent_y': [35.9999995, 50.000000500000006, 53.7693574853865, 58.23064251461347]}
2025-10-26 15:58:22,745 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 98.36347412810619, 'puck_y': 38.88931635172967, 'puck_vx': -0.8480009305365952, 'puck_vy': -2.907343171818709, 'agent_x': [86.43760159113646, 77.56239840886354, 107.18123952609179, 122.81876047390818], 'agent_y': [37.34359705859513, 50.65640294140488, 53.306780388829864, 56.69321961117011]}
2025-10-26 15:58:22,762 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 104.67906126736167, 'puck_y': 39.553968524990346, 'puck_vx': 3.057393771198072, 'puck_vy': -0.49923936804769703, 'agent_x': [88.43760159113646, 79.56239840886354, 107.05617507397479, 122.94382492602519], 'agent_y': [35.34359705859513, 48.65640294140488, 53.0536102575255, 54.94638974247447]}
2025-10-26 15:58:22,779 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 107.81100091329829, 'puck_y': 39.03388615091737, 'puck_vx': 3.1534058368947364, 'puck_vy': -0.43277569951868894, 'agent_x': [90.937951394344, 81.062048605656, 108.00023791790397, 123.999762082096], 'agent_y': [34.70582459514383, 47.294175404856176, 53.061762689862256, 52.938237310137715]}
2025-10-26 15:58:22,795 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 109.44707301718444, 'puck_y': 34.409794763387204, 'puck_vx': 1.507387676770196, 'puck_vy': -2.5543833843849106, 'agent_x': [89.88185464466342, 82.11814535533658, 107.07091064576565, 122.92908935423432], 'agent_y': [33.00491511719084, 46.99508488280917, 50.93719709608602, 53.062802903913955]}
2025-10-26 15:58:22,812 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 110.95446069395463, 'puck_y': 31.855411379002295, 'puck_vx': 1.507387676770196, 'puck_vy': -2.5543833843849106, 'agent_x': [91.88185464466342, 84.11814535533658, 109.0002504298988, 124.99974957010117], 'agent_y': [31.00491511719084, 44.99508488280917, 50.936637426929906, 51.063362573070066]}
2025-10-26 15:58:22,829 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 112.46184837072482, 'puck_y': 29.301027994617385, 'puck_vx': 1.507387676770196, 'puck_vy': -2.5543833843849106, 'agent_x': [90.07830767417241, 85.92169232582759, 110.09074375458785, 125.90925624541212], 'agent_y': [28.274675074051817, 43.725324925948186, 48.798470289834874, 51.2015297101651]}
2025-10-26 15:58:22,845 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 113.96923604749502, 'puck_y': 26.746644610232476, 'puck_vx': 1.507387676770196, 'puck_vy': -2.5543833843849106, 'agent_x': [88.0810877545032, 87.9189122454968, 112.09074375458785, 127.90925624541212], 'agent_y': [26.000410462025577, 41.99958953797443, 46.798470289834874, 49.2015297101651]}
2025-10-26 15:58:22,862 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 115.47662372426521, 'puck_y': 24.192261225847567, 'puck_vx': 1.507387676770196, 'puck_vy': -2.5543833843849106, 'agent_x': [90.0810877545032, 89.9189122454968, 114.09074375458785, 129.9092562454121], 'agent_y': [24.000410462025577, 39.99958953797443, 44.798470289834874, 47.2015297101651]}
2025-10-26 15:58:22,879 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 116.9840114010354, 'puck_y': 21.637877841462657, 'puck_vx': 1.507387676770196, 'puck_vy': -2.5543833843849106, 'agent_x': [88.0810877545032, 91.9189122454968, 116.09074375458785, 131.9092562454121], 'agent_y': [22.000410462025577, 37.99958953797443, 42.798470289834874, 45.2015297101651]}
