2025-10-26 16:30:43,905 [INFO] Starting game: wide_scenario - long_short: 2 vs two_capped_neural: 2
2025-10-26 16:30:46,184 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 600.0, 'puck_y': 160.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [300.0, 300.0, 900.0, 900.0], 'agent_y': [106.66666666666667, 213.33333333333334, 213.33333333333331, 106.66666666666666]}
2025-10-26 16:30:46,198 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 600.0, 'puck_y': 160.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [300.0, 300.0, 900.0, 900.0], 'agent_y': [106.66666666666667, 213.33333333333334, 213.33333333333331, 106.66666666666666]}
2025-10-26 16:30:46,215 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 600.0, 'puck_y': 160.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [294.0, 300.0, 900.0, 900.0], 'agent_y': [112.66666666666667, 213.33333333333334, 213.33333333333331, 106.66666666666666]}
2025-10-26 16:30:46,231 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 600.0, 'puck_y': 160.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [288.0, 300.0, 900.0, 900.0], 'agent_y': [118.66666666666667, 213.33333333333334, 213.33333333333331, 106.66666666666666]}
2025-10-26 16:30:46,248 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 600.0, 'puck_y': 160.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [282.0, 300.0, 900.0, 900.0], 'agent_y': [124.66666666666667, 213.33333333333334, 213.33333333333331, 106.66666666666666]}
2025-10-26 16:30:46,265 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 600.0, 'puck_y': 160.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [276.0, 306.0, 900.0, 900.0], 'agent_y': [130.66666666666669, 207.33333333333334, 213.33333333333331, 106.66666666666666]}
2025-10-26 16:30:46,281 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 600.0, 'puck_y': 160.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [270.0, 312.0, 900.0, 900.0], 'agent_y': [136.66666666666669, 201.33333333333334, 213.33333333333331, 106.66666666666666]}
2025-10-26 16:30:46,298 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 600.0, 'puck_y': 160.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [264.0, 318.0, 900.0, 900.0], 'agent_y': [142.66666666666669, 195.33333333333334, 213.33333333333331, 106.66666666666666]}
2025-10-26 16:30:46,315 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 600.0, 'puck_y': 160.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [258.0, 324.0, 900.0, 900.0], 'agent_y': [148.66666666666669, 189.33333333333334, 213.33333333333331, 106.66666666666666]}
2025-10-26 16:30:46,331 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 600.0, 'puck_y': 160.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [252.0, 330.0, 900.0, 900.0], 'agent_y': [154.66666666666669, 183.33333333333334, 213.33333333333331, 106.66666666666666]}
2025-10-26 16:30:46,348 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 600.0, 'puck_y': 160.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [246.0, 336.0, 900.0, 900.0], 'agent_y': [160.66666666666669, 177.33333333333334, 213.33333333333331, 106.66666666666666]}
