2025-10-26 16:19:01,792 [INFO] Starting game: wide_scenario - two_capped_neural: 2 vs regional_simple: 2
2025-10-26 16:19:03,984 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 600.0, 'puck_y': 160.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [300.0, 300.0, 900.0, 900.0], 'agent_y': [106.66666666666667, 213.33333333333334, 213.33333333333331, 106.66666666666666]}
2025-10-26 16:19:03,993 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 600.0, 'puck_y': 160.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [300.0, 300.0, 894.0, 894.0], 'agent_y': [106.66666666666667, 213.33333333333334, 213.33333333333331, 106.66666666666666]}
2025-10-26 16:19:04,009 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 600.0, 'puck_y': 160.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [300.0, 300.0, 888.0, 888.0], 'agent_y': [106.66666666666667, 213.33333333333334, 213.33333333333331, 106.66666666666666]}
2025-10-26 16:19:04,026 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 600.0, 'puck_y': 160.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [300.0, 306.0, 882.0, 882.0], 'agent_y': [106.66666666666667, 207.33333333333334, 213.33333333333331, 106.66666666666666]}
2025-10-26 16:19:04,043 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 600.0, 'puck_y': 160.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [306.0, 312.0, 876.0, 876.0], 'agent_y': [112.66666666666667, 201.33333333333334, 213.33333333333331, 106.66666666666666]}
2025-10-26 16:19:04,059 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 600.0, 'puck_y': 160.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [312.0, 318.0, 870.0, 870.0], 'agent_y': [118.66666666666667, 195.33333333333334, 213.33333333333331, 106.66666666666666]}
2025-10-26 16:19:04,076 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 600.0, 'puck_y': 160.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [318.0, 324.0, 864.0, 864.0], 'agent_y': [124.66666666666667, 189.33333333333334, 213.33333333333331, 106.66666666666666]}
2025-10-26 16:19:04,093 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 600.0, 'puck_y': 160.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [324.0, 330.0, 858.0, 858.0], 'agent_y': [130.66666666666669, 183.33333333333334, 213.33333333333331, 106.66666666666666]}
2025-10-26 16:19:04,109 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 600.0, 'puck_y': 160.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [330.0, 336.0, 852.0, 852.0], 'agent_y': [136.66666666666669, 177.33333333333334, 213.33333333333331, 106.66666666666666]}
2025-10-26 16:19:04,126 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 600.0, 'puck_y': 160.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [335.927052585728, 342.072947414272, 846.0, 846.0], 'agent_y': [142.31814013181167, 171.68185986818835, 213.33333333333331, 106.66666666666666]}
2025-10-26 16:19:04,143 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 600.0, 'puck_y': 160.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [339.99501056591936, 350.00498943408064, 840.0, 840.0], 'agent_y': [142.8596288675035, 171.14037113249654, 213.33333333333331, 106.66666666666666]}
2025-10-26 16:19:04,159 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 600.0, 'puck_y': 160.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [344.8528831150867, 357.1471168849133, 834.0, 834.0], 'agent_y': [146.31742096667395, 173.68257903332608, 213.33333333333331, 106.66666666666666]}
2025-10-26 16:19:04,176 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 600.0, 'puck_y': 160.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [347.6285945415106, 366.3714054584894, 828.0, 828.0], 'agent_y': [148.2877510813424, 171.71224891865762, 213.33333333333331, 106.66666666666666]}
2025-10-26 16:19:04,193 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 600.0, 'puck_y': 160.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [352.0140786805476, 373.9859213194524, 822.0, 822.0], 'agent_y': [152.78679542147515, 173.21320457852488, 213.33333333333331, 106.66666666666666]}
2025-10-26 16:19:04,209 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 600.0, 'puck_y': 160.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [356.46121507527283, 381.53878492472717, 816.0, 816.0], 'agent_y': [151.76720657301334, 168.2327934269867, 213.33333333333331, 106.66666666666666]}
2025-10-26 16:19:04,226 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 600.0, 'puck_y': 160.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [361.1571010052076, 388.8428989947924, 810.0, 810.0], 'agent_y': [157.22296248757405, 168.77703751242598, 213.33333333333331, 106.66666666666666]}
2025-10-26 16:19:04,243 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 600.0, 'puck_y': 160.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [367.1571010052076, 394.8428989947924, 804.0, 804.0], 'agent_y': [157.22296248757405, 168.77703751242598, 213.33333333333331, 112.66666666666666]}
2025-10-26 16:19:04,259 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 600.0, 'puck_y': 160.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [373.1571010052076, 400.8428989947924, 798.0, 798.0], 'agent_y': [157.22296248757405, 168.77703751242598, 213.33333333333331, 112.66666666666666]}
2025-10-26 16:19:04,276 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 600.0, 'puck_y': 160.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [379.1571010052076, 406.8428989947924, 792.0, 792.0], 'agent_y': [157.22296248757405, 168.77703751242598, 213.33333333333331, 112.66666666666666]}
2025-10-26 16:19:04,293 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 600.0, 'puck_y': 160.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [385.1571010052076, 412.8428989947924, 786.0, 786.0], 'agent_y': [157.22296248757405, 168.77703751242598, 213.33333333333331, 118.66666666666666]}
2025-10-26 16:19:04,309 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 600.0, 'puck_y': 160.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [391.1571010052076, 418.8428989947924, 780.0, 780.0], 'agent_y': [157.22296248757405, 168.77703751242598, 213.33333333333331, 124.66666666666666]}
2025-10-26 16:19:04,326 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 600.0, 'puck_y': 160.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [397.1571010052076, 424.8428989947924, 774.0, 774.0], 'agent_y': [157.22296248757405, 168.77703751242598, 213.33333333333331, 130.66666666666666]}
2025-10-26 16:19:04,343 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 600.0, 'puck_y': 160.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [403.1571010052076, 430.8428989947924, 768.0, 768.0], 'agent_y': [157.22296248757405, 168.77703751242598, 213.33333333333331, 130.66666666666666]}
2025-10-26 16:19:04,359 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 600.0, 'puck_y': 160.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [409.1571010052076, 436.8428989947924, 762.0, 762.0], 'agent_y': [157.22296248757405, 168.77703751242598, 213.33333333333331, 130.66666666666666]}
2025-10-26 16:19:04,376 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 600.0, 'puck_y': 160.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [415.1571010052076, 442.8428989947924, 756.0, 756.0], 'agent_y': [157.22296248757405, 168.77703751242598, 213.33333333333331, 130.66666666666666]}
2025-10-26 16:19:04,393 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 600.0, 'puck_y': 160.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [421.1571010052076, 448.8428989947924, 750.0, 750.0], 'agent_y': [157.22296248757405, 168.77703751242598, 213.33333333333331, 130.66666666666666]}
2025-10-26 16:19:04,409 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 600.0, 'puck_y': 160.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [427.1571010052076, 454.8428989947924, 744.0, 744.0], 'agent_y': [157.22296248757405, 168.77703751242598, 213.33333333333331, 136.66666666666666]}
2025-10-26 16:19:04,426 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 600.0, 'puck_y': 160.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [433.1571010052076, 460.8428989947924, 738.0, 738.0], 'agent_y': [157.22296248757405, 168.77703751242598, 213.33333333333331, 136.66666666666666]}
2025-10-26 16:19:04,443 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 600.0, 'puck_y': 160.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [439.1571010052076, 466.8428989947924, 732.0, 732.0], 'agent_y': [157.22296248757405, 168.77703751242598, 213.33333333333331, 142.66666666666666]}
2025-10-26 16:19:04,459 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 600.0, 'puck_y': 160.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [445.1571010052076, 472.8428989947924, 726.0, 726.0], 'agent_y': [157.22296248757405, 168.77703751242598, 213.33333333333331, 142.66666666666666]}
2025-10-26 16:19:04,476 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 600.0, 'puck_y': 160.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [451.1571010052076, 478.8428989947924, 720.0, 720.0], 'agent_y': [157.22296248757405, 168.77703751242598, 213.33333333333331, 142.66666666666666]}
2025-10-26 16:19:04,493 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 600.0, 'puck_y': 160.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [457.1571010052076, 484.8428989947924, 714.0, 714.0], 'agent_y': [157.22296248757405, 168.77703751242598, 213.33333333333331, 148.66666666666666]}
2025-10-26 16:19:04,509 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 600.0, 'puck_y': 160.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [463.1571010052076, 490.8428989947924, 708.0, 708.0], 'agent_y': [157.22296248757405, 168.77703751242598, 213.33333333333331, 154.66666666666666]}
2025-10-26 16:19:04,526 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 600.0, 'puck_y': 160.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [468.2930199212833, 497.7069800787167, 702.0, 702.0], 'agent_y': [163.0496183358369, 168.95038166416313, 213.33333333333331, 154.66666666666666]}
2025-10-26 16:19:04,543 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 600.0, 'puck_y': 160.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [474.2930199212833, 503.7069800787167, 696.0, 696.0], 'agent_y': [163.0496183358369, 168.95038166416313, 213.33333333333331, 154.66666666666666]}
